ID,hospital/non-hospital,public/private,urban/rural,GW1,GW2,GW3,GS1,GS2,GS3,GS4,GS5,GS6,GH1,GH2,GWM1,WGM2,GWM3,GC1,GC2
23,Non-Hospital,Public,Rural,Tanker truck,On premises,Yes,pit latrine with slab,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, there are no staff responsible for cleaning "
24,Non-Hospital,Public,Rural,Tanker truck,On premises,No,pit latrine with slab,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, there are no staff responsible for cleaning "
25,Non-Hospital,Public,Rural,No water source or patients bring water from home,500 m or further,No,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"Yes, all have been trained"
26,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
27,Non-Hospital,Public,Rural,Tanker truck,500 m or further,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
28,Non-Hospital,Public,Rural,Protected dug well,On premises,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,"Not treated, but buried in lined, protected pit",No,"No, some but not all have been trained"
29,Non-Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, some but not all have been trained"
30,Non-Hospital,Public,Rural,Tanker truck,500 m or further,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
31,Non-Hospital,Public,Rural,No water source or patients bring water from home,500 m or further,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,Not treated and added to general waste,No,"No, none have been trained"
32,Non-Hospital,Public,Urban,Tanker truck,500 m or further,Yes,Pit latrine without slab,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Open burning ,"Not treated, but buried in lined, protected pit",No,"No, none have been trained"
33,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Pit latrine with slab,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
34,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, there are no staff responsible for cleaning "
35,Hospital,Public,Urban,Protected dug well,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, none have been trained"
36,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, some but not all have been trained"
37,Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
38,Non-Hospital,Public,Rural,Tanker truck,On premises,No,pit latrine with slab,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Open burning ,No,"No, there are no staff responsible for cleaning "
39,Non-Hospital,Public,Rural,Protected dug well,Up to 500 m,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
40,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Burning in a protected pit,No,"No, none have been trained"
41,Non-Hospital,Private,Rural,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Other,"Not treated, but buried in lined, protected pit",No,"No, some but not all have been trained"
42,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,Yes,Yes,"No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
43,Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,Pit latrine without slab,Yes,No,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
44,Non-Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, no hand hygiene facilities at points of care","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
45,Non-Hospital,Public,Urban,No water source or patients bring water from home,500 m or further,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated","Not treated, but burried in lined, protected pit",Open burning ,No,"No, there are no staff responsible for cleaning "
46,Non-Hospital,Public,Rural,No water source or patients bring water from home,500 m or further,No,other,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Open burning ,Open burning ,No,"Yes, all have been trained"
47,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, there are no staff responsible for cleaning "
48,Non-Hospital,Public,Rural,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,Burning in a protected pit,No,"No, some but not all have been trained"
49,Hospital,Public,Urban,Rainwater,500 m or further,Yes,pit latrine with slab,No,No,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Incinerated (other),No,"Yes, all have been trained"
50,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,No,"No, some but not all have been trained"
51,Non-Hospital,Private,Rural,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,Yes,"Yes, all have been trained"
52,Hospital,Public,Urban,Tanker truck,Up to 500 m,Yes,pit latrine with slab,Yes,No,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub",Yes,"No, bins are not present ",Incinerated (other),Incinerated (other),Yes,"No, none have been trained"
53,Hospital,Public,Rural,Piped Supply inside the building ,Up to 500 m,Yes,Pit latrine without slab,Yes,No,No,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,No,"Yes, all have been trained"
54,Non-Hospital,Public,Urban,Tanker truck,500 m or further,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care",Yes,"No, bins are not present ",Burning in a protected pit,Open burning ,No,"No, none have been trained"
55,Non-Hospital,Public,Rural,Tanker truck,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
56,Non-Hospital,Public,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Pit latrine without slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care",Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, none have been trained"
57,Non-Hospital,Public,Rural,Tanker truck,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,No,No,No,No,yes,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, there are no staff responsible for cleaning "
58,Non-Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,No,pit latrine with slab,Yes,Yes,No,No,No,Yes,"No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, none have been trained"
59,Non-Hospital,Public,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Not treated and added to general waste,Burning in a protected pit,No,"No, there are no staff responsible for cleaning "
60,Non-Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",No,"No, none have been trained"
61,Non-Hospital,Public,Urban,Tanker truck,500 m or further,Yes,Pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
62,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, some but not all have been trained"
63,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,No,Flush/Pour-flush toilet to tank or pit,No,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
64,Non-Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,pit latrine with slab,No,No,No,No,No,Yes,"No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Burning in a protected pit,No,"No, none have been trained"
65,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
66,Non-Hospital,Public,Rural,No water source or patients bring water from home,500 m or further,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,Burning in a protected pit,No,"No, none have been trained"
67,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,No,Flush/Pour-flush toilet to tank or pit,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Incinerated (other),Incinerated (other),No,"No, there are no staff responsible for cleaning "
68,Non-Hospital,Public,Rural,Tanker truck,On premises,Yes,pit latrine with slab,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Open burning ,Incinerated (other),No,"No, none have been trained"
69,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
70,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
71,Non-Hospital,Public,Rural,Tanker truck,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
72,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care",Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
73,Non-Hospital,Public,Urban,Tanker truck,500 m or further,No,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Incinerated (other),Incinerated (other),No,"No, none have been trained"
74,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,"No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",No,"No, some but not all have been trained"
75,Non-Hospital,Private,Urban,Protected dug well,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Not treated and added to general waste,Other,No,"No, none have been trained"
76,Non-Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,"Not treated, but buried in lined, protected pit",No,"No, none have been trained"
77,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
78,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
79,Non-Hospital,Private,Rural,Piped Supply inside the building ,500 m or further,Yes,Pit latrine without slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,No,"No, some but not all have been trained"
80,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"No, bins are not present ",Other,Other,Yes,"No, some but not all have been trained"
81,Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
82,Non-Hospital,Public,Rural,Tanker truck,500 m or further,Yes,Pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
83,Hospital,Public,Urban,Protected dug well,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
84,Non-Hospital,Public,Rural,Piped Supply inside the building ,500 m or further,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Not treated and added to general waste,Open burning ,No,"No, none have been trained"
85,Non-Hospital,Private,Rural,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Open burning ,Open burning ,Yes,"Yes, all have been trained"
86,Non-Hospital,Public,Urban,Tanker truck,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Incinerated (other),No,"No, some but not all have been trained"
87,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
88,Hospital,Public,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,yes,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, none have been trained"
89,Non-Hospital,Private,Rural,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
90,Non-Hospital,Private,Urban,Protected dug well,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,"Not treated, but buried in lined, protected pit",No,"Yes, all have been trained"
91,Non-Hospital,Private,Urban,Rainwater,Up to 500 m,Yes,pit latrine with slab,No,No,Yes,No,No,Yes,Yes,"No, bins are not present ",Open burning ,Open burning ,Yes,"No, some but not all have been trained"
92,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Other,Other,No,"No, none have been trained"
93,Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,No,"No, some but not all have been trained"
94,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Other,Other,No,"No, none have been trained"
95,Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,No,"No, there are no staff responsible for cleaning "
96,Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"No, bins are not present ",Other,Other,No,"No, none have been trained"
